,date,county,state,fips,cases,deaths,new_cases,new_deaths,roll_new_cases,roll_new_deaths
399,2020-03-01,Alameda,California,6001.0,1,0,,,,
426,2020-03-02,Alameda,California,6001.0,1,0,0.0,0.0,0.0,0.0
459,2020-03-03,Alameda,California,6001.0,2,0,1.0,0.0,0.5,0.0
494,2020-03-04,Alameda,California,6001.0,2,0,0.0,0.0,0.3333333333333333,0.0
533,2020-03-05,Alameda,California,6001.0,2,0,0.0,0.0,0.25,0.0
583,2020-03-06,Alameda,California,6001.0,3,0,1.0,0.0,0.4,0.0
657,2020-03-07,Alameda,California,6001.0,3,0,0.0,0.0,0.3333333333333333,0.0
752,2020-03-08,Alameda,California,6001.0,3,0,0.0,0.0,0.2857142857142857,0.0
866,2020-03-09,Alameda,California,6001.0,24,0,21.0,0.0,3.2857142857142856,0.0
998,2020-03-10,Alameda,California,6001.0,25,0,1.0,0.0,3.2857142857142856,0.0
1164,2020-03-11,Alameda,California,6001.0,25,0,0.0,0.0,3.2857142857142856,0.0
1370,2020-03-12,Alameda,California,6001.0,29,0,4.0,0.0,3.857142857142857,0.0
1630,2020-03-13,Alameda,California,6001.0,29,0,0.0,0.0,3.7142857142857144,0.0
1947,2020-03-14,Alameda,California,6001.0,29,0,0.0,0.0,3.7142857142857144,0.0
2326,2020-03-15,Alameda,California,6001.0,37,0,8.0,0.0,4.857142857142857,0.0
2760,2020-03-16,Alameda,California,6001.0,40,0,3.0,0.0,2.2857142857142856,0.0
3240,2020-03-17,Alameda,California,6001.0,49,0,9.0,0.0,3.4285714285714284,0.0
3793,2020-03-18,Alameda,California,6001.0,53,0,4.0,0.0,4.0,0.0
4453,2020-03-19,Alameda,California,6001.0,57,0,4.0,0.0,4.0,0.0
5226,2020-03-20,Alameda,California,6001.0,67,0,10.0,0.0,5.428571428571429,0.0
6145,2020-03-21,Alameda,California,6001.0,87,0,20.0,0.0,8.285714285714286,0.0
7179,2020-03-22,Alameda,California,6001.0,127,0,40.0,0.0,12.857142857142858,0.0
8322,2020-03-23,Alameda,California,6001.0,139,1,12.0,1.0,14.142857142857142,0.14285714285714285
9562,2020-03-24,Alameda,California,6001.0,151,2,12.0,1.0,14.571428571428571,0.2857142857142857
10933,2020-03-25,Alameda,California,6001.0,156,2,5.0,0.0,14.714285714285714,0.2857142857142857
12478,2020-03-26,Alameda,California,6001.0,199,4,43.0,2.0,20.285714285714285,0.5714285714285714
14142,2020-03-27,Alameda,California,6001.0,241,4,42.0,0.0,24.857142857142858,0.5714285714285714
15923,2020-03-28,Alameda,California,6001.0,277,6,36.0,2.0,27.142857142857142,0.8571428571428571
17812,2020-03-29,Alameda,California,6001.0,291,6,14.0,0.0,23.428571428571427,0.8571428571428571
19788,2020-03-30,Alameda,California,6001.0,304,7,13.0,1.0,23.571428571428573,0.8571428571428571
21862,2020-03-31,Alameda,California,6001.0,334,7,30.0,0.0,26.142857142857142,0.7142857142857143
24020,2020-04-01,Alameda,California,6001.0,380,8,46.0,1.0,32.0,0.8571428571428571
26248,2020-04-02,Alameda,California,6001.0,417,9,37.0,1.0,31.142857142857142,0.7142857142857143
28547,2020-04-03,Alameda,California,6001.0,464,12,47.0,3.0,31.857142857142858,1.1428571428571428
30905,2020-04-04,Alameda,California,6001.0,464,12,0.0,0.0,26.714285714285715,0.8571428571428571
33311,2020-04-05,Alameda,California,6001.0,587,12,123.0,0.0,42.285714285714285,0.8571428571428571
35755,2020-04-06,Alameda,California,6001.0,609,13,22.0,1.0,43.57142857142857,0.8571428571428571
38244,2020-04-07,Alameda,California,6001.0,655,15,46.0,2.0,45.857142857142854,1.1428571428571428
40788,2020-04-08,Alameda,California,6001.0,695,16,40.0,1.0,45.0,1.1428571428571428
43360,2020-04-09,Alameda,California,6001.0,734,17,39.0,1.0,45.285714285714285,1.1428571428571428
45960,2020-04-10,Alameda,California,6001.0,766,20,32.0,3.0,43.142857142857146,1.1428571428571428
