School,Department,Number of Courses,Requirement,Department Code
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Aesthetic and Interpretive Inquiry,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Creative Expression,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Exploring Difference and Power,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Ethical Reasoning,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Formal Reasoning,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Applied Quantitative Reasoning,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Scientific Method and Analysis,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Athletics and Club Sports,0,Social Inquiry,ATHLETIC
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Aesthetic and Interpretive Inquiry,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Creative Expression,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Exploring Difference and Power,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Ethical Reasoning,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Formal Reasoning,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Applied Quantitative Reasoning,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Scientific Method and Analysis,KIN
"Department of Athletics, Physical Education and Recreation",Kinesiology,0,Social Inquiry,KIN
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Aesthetic and Interpretive Inquiry,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Creative Expression,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Exploring Difference and Power,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Ethical Reasoning,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Formal Reasoning,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Applied Quantitative Reasoning,OUTDOOR
"Department of Athletics, Physical Education and Recreation",Outdoor Education,0,Scientific Method and Analysis,OUTDOOR
