Department,Requirement,2014-2015,2015-2016,2016-2017,2023-2024,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
GSBGEN,WAY-SI,1.0,1.0,1.0,1.0,,,,,,
OB,WAY-EDP,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
OB,WAY-SI,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
EDUC,WAY-A-II,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EDUC,WAY-CE,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EDUC,WAY-EDP,9.0,10.0,11.0,15.0,11.0,11.0,14.0,14.0,14.0,15.0
EDUC,WAY-ER,0.0,0.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0
EDUC,WAY-SI,6.0,7.0,7.0,12.0,10.0,10.0,10.0,11.0,11.0,12.0
AA,WAY-AQR,2.0,2.0,7.0,13.0,10.0,11.0,12.0,13.0,15.0,14.0
AA,WAY-SMA,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
BIOE,WAY-AQR,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
BIOE,WAY-CE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIOE,WAY-ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIOE,WAY-FR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIOE,WAY-SI,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIOE,WAY-SMA,6.0,6.0,6.0,8.0,6.0,7.0,7.0,8.0,8.0,8.0
CHEMENG,WAY-AQR,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0
CHEMENG,WAY-CE,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
CHEMENG,WAY-EDP,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMENG,WAY-SMA,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0
CEE,WAY-A-II,2.0,3.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0
CEE,WAY-AQR,4.0,4.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0
CEE,WAY-CE,3.0,3.0,4.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0
CEE,WAY-EDP,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
CEE,WAY-ER,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CEE,WAY-FR,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
CEE,WAY-SI,2.0,3.0,4.0,5.0,3.0,5.0,6.0,6.0,5.0,5.0
CEE,WAY-SMA,5.0,5.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
CME,WAY-AQR,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0
CME,WAY-FR,9.0,9.0,9.0,5.0,9.0,9.0,9.0,8.0,8.0,5.0
CS,WAY-A-II,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS,WAY-AQR,1.0,2.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0
CS,WAY-CE,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
CS,WAY-EDP,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
CS,WAY-ER,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0
CS,WAY-FR,8.0,8.0,9.0,15.0,10.0,10.0,15.0,16.0,15.0,15.0
CS,WAY-SMA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
DESIGN,WAY-CE,,,,2.0,,,,,,2.0
EE,WAY-AQR,4.0,4.0,5.0,8.0,4.0,5.0,8.0,8.0,8.0,8.0
EE,WAY-FR,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0
EE,WAY-SMA,11.0,11.0,11.0,16.0,11.0,12.0,15.0,15.0,15.0,15.0
ENGR,WAY-AQR,8.0,8.0,8.0,13.0,7.0,8.0,11.0,14.0,15.0,14.0
ENGR,WAY-CE,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
ENGR,WAY-EDP,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ENGR,WAY-ER,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
ENGR,WAY-FR,10.0,10.0,10.0,9.0,9.0,10.0,7.0,9.0,9.0,9.0
ENGR,WAY-SI,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
ENGR,WAY-SMA,12.0,12.0,11.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0
MS&E,WAY-AQR,4.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0
MS&E,WAY-ER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS&E,WAY-FR,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MS&E,WAY-SI,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
MATSCI,WAY-AQR,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0
MATSCI,WAY-SI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
MATSCI,WAY-SMA,8.0,8.0,9.0,19.0,9.0,14.0,16.0,17.0,18.0,17.0
ME,WAY-AQR,0.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0
ME,WAY-CE,3.0,3.0,6.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0
ME,WAY-ER,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ME,WAY-SMA,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFRICAAM,WAY-A-II,16.0,20.0,21.0,26.0,24.0,23.0,26.0,26.0,22.0,26.0
AFRICAAM,WAY-CE,3.0,4.0,6.0,7.0,4.0,4.0,4.0,4.0,7.0,9.0
AFRICAAM,WAY-EDP,20.0,27.0,31.0,62.0,47.0,51.0,52.0,60.0,62.0,64.0
AFRICAAM,WAY-ER,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
AFRICAAM,WAY-SI,10.0,14.0,18.0,36.0,29.0,30.0,28.0,38.0,41.0,38.0
AMELANG,WAY-A-II,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
AMELANG,WAY-EDP,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
AFRICAST,WAY-A-II,2.0,3.0,4.0,6.0,3.0,4.0,5.0,5.0,7.0,7.0
