Requirement,Department,Department Code,Number of Courses,Year
Social Inquiry,Earth Systems,EARTHSYS,12,2023-2024
Exploring Difference and Power,Earth Systems,EARTHSYS,5,2023-2024
Aesthetic and Interpretive Inquiry,Earth Systems,EARTHSYS,0,2023-2024
Creative Expression,Earth Systems,EARTHSYS,1,2023-2024
Scientific Method and Analysis,Earth Systems,EARTHSYS,28,2023-2024
Formal Reasoning,Earth Systems,EARTHSYS,1,2023-2024
Applied Quantitative Reasoning,Earth Systems,EARTHSYS,14,2023-2024
Ethical Reasoning,Earth Systems,EARTHSYS,2,2023-2024
Social Inquiry,Energy Science and Engineering,ENERGY,1,2023-2024
Exploring Difference and Power,Energy Science and Engineering,ENERGY,0,2023-2024
Aesthetic and Interpretive Inquiry,Energy Science and Engineering,ENERGY,0,2023-2024
Creative Expression,Energy Science and Engineering,ENERGY,0,2023-2024
Scientific Method and Analysis,Energy Science and Engineering,ENERGY,4,2023-2024
Formal Reasoning,Energy Science and Engineering,ENERGY,1,2023-2024
Applied Quantitative Reasoning,Energy Science and Engineering,ENERGY,2,2023-2024
Ethical Reasoning,Energy Science and Engineering,ENERGY,1,2023-2024
Social Inquiry,Environment and Resources,ENVRES,0,2023-2024
Exploring Difference and Power,Environment and Resources,ENVRES,0,2023-2024
Aesthetic and Interpretive Inquiry,Environment and Resources,ENVRES,0,2023-2024
Creative Expression,Environment and Resources,ENVRES,0,2023-2024
Scientific Method and Analysis,Environment and Resources,ENVRES,0,2023-2024
Formal Reasoning,Environment and Resources,ENVRES,0,2023-2024
Applied Quantitative Reasoning,Environment and Resources,ENVRES,0,2023-2024
Ethical Reasoning,Environment and Resources,ENVRES,0,2023-2024
Social Inquiry,Earth and Planetary Sciences,EPS,0,2023-2024
Exploring Difference and Power,Earth and Planetary Sciences,EPS,0,2023-2024
Aesthetic and Interpretive Inquiry,Earth and Planetary Sciences,EPS,0,2023-2024
Creative Expression,Earth and Planetary Sciences,EPS,0,2023-2024
Scientific Method and Analysis,Earth and Planetary Sciences,EPS,8,2023-2024
Formal Reasoning,Earth and Planetary Sciences,EPS,0,2023-2024
Applied Quantitative Reasoning,Earth and Planetary Sciences,EPS,2,2023-2024
Ethical Reasoning,Earth and Planetary Sciences,EPS,1,2023-2024
Social Inquiry,Earth System Science,ESS,3,2023-2024
Exploring Difference and Power,Earth System Science,ESS,0,2023-2024
Aesthetic and Interpretive Inquiry,Earth System Science,ESS,0,2023-2024
Creative Expression,Earth System Science,ESS,0,2023-2024
Scientific Method and Analysis,Earth System Science,ESS,16,2023-2024
Formal Reasoning,Earth System Science,ESS,0,2023-2024
Applied Quantitative Reasoning,Earth System Science,ESS,6,2023-2024
Ethical Reasoning,Earth System Science,ESS,1,2023-2024
Social Inquiry,Oceans,OCEANS,1,2023-2024
Exploring Difference and Power,Oceans,OCEANS,0,2023-2024
Aesthetic and Interpretive Inquiry,Oceans,OCEANS,2,2023-2024
Creative Expression,Oceans,OCEANS,2,2023-2024
Scientific Method and Analysis,Oceans,OCEANS,8,2023-2024
Formal Reasoning,Oceans,OCEANS,2,2023-2024
Applied Quantitative Reasoning,Oceans,OCEANS,3,2023-2024
Ethical Reasoning,Oceans,OCEANS,0,2023-2024
